================================================================================
NAVIFLOW PROFILING REPORT
================================================================================

Algorithm: SimpleSolver
Timestamp: 2025-03-17 03:54:10
Mesh Size: 127x127
Reynolds Number: 100

SYSTEM INFORMATION
--------------------------------------------------------------------------------
Platform: macOS-14.1-arm64-arm-64bit
Processor: Apple M3 Pro
Python Version: 3.11.11
Total System Memory: 18.00 GB

CONVERGENCE INFORMATION
--------------------------------------------------------------------------------
Convergence Tolerance: 1.000000e-08
Final Residual: 9.996792e-09
Status: Converged after 16860 iterations

PERFORMANCE SUMMARY
--------------------------------------------------------------------------------
Total Wall Time: 3715.7393 seconds
Total CPU Time: 5122.6762 seconds
Total Iterations: 16860
Average Wall Time per Iteration: 0.2204 seconds
Peak Memory Usage: 210.11 MB

TIME BREAKDOWN (WALL TIME)
--------------------------------------------------------------------------------
Momentum Equations: 50.5794 seconds (1.36%)
Pressure Equation: 3653.6198 seconds (98.33%)
Velocity Update: 8.8062 seconds (0.24%)
Boundary Conditions: 0.0000 seconds (0.00%)
Other Operations: 2.5654 seconds (0.07%)

TIME BREAKDOWN (CPU TIME)
--------------------------------------------------------------------------------
Momentum Equations: 50.5679 seconds (0.99%)
Pressure Equation: 5060.5870 seconds (98.79%)
Velocity Update: 8.8045 seconds (0.17%)
Boundary Conditions: 0.0000 seconds (0.00%)
Other Operations: 2.5621 seconds (0.05%)

DETAILED RESIDUAL HISTORY
--------------------------------------------------------------------------------
 Iter    Wall Time     CPU Time    Total Res Momentum Res Pressure Res Inf Norm Err     RSS (MB)     VMS (MB)
   49      21.4378      29.3641 4.749255e-03 4.727124e-03 8.470358e-01          N/A       210.08    400847.55
   50      21.7032      29.7309 4.652050e-03 4.630419e-03 8.469314e-01          N/A       210.08    400847.55
   51      21.9678      30.0981 4.557860e-03 4.536748e-03 8.468348e-01          N/A       210.08    400847.55
   52      22.2349      30.4705 4.466567e-03 4.445981e-03 8.467466e-01          N/A       210.08    400847.55
   53      22.5017      30.8424 4.378169e-03 4.357999e-03 8.466655e-01          N/A       210.08    400847.55
   54      22.7683      31.2142 4.292466e-03 4.272729e-03 8.465913e-01          N/A       210.08    400847.55
   55      23.0351      31.5871 4.209399e-03 4.190056e-03 8.465238e-01          N/A       210.08    400847.55
   56      23.3014      31.9571 4.128869e-03 4.109884e-03 8.464627e-01          N/A       210.08    400847.55
   57      23.5685      32.3286 4.050767e-03 4.032132e-03 8.464075e-01          N/A       210.08    400847.55
   58      23.8336      32.6957 3.975015e-03 3.956687e-03 8.463570e-01          N/A       210.08    400847.55
   59      24.0987      33.0666 3.901544e-03 3.883502e-03 8.463124e-01          N/A       210.08    400847.55
   60      24.3625      33.4340 3.830254e-03 3.812448e-03 8.462730e-01          N/A       210.08    400847.55
   61      24.6247      33.7980 3.761048e-03 3.743492e-03 8.462372e-01          N/A       210.08    400847.55
   62      24.8828      34.1544 3.693869e-03 3.676538e-03 8.462067e-01          N/A       210.08    400847.55
   63      25.1100      34.4692 3.628803e-03 3.613018e-03 8.461596e-01          N/A       210.08    400847.55
   64      25.3354      34.7853 3.576477e-03 3.561411e-03 8.461541e-01          N/A       210.08    400847.55
   65      25.5592      35.0986 3.525820e-03 3.510937e-03 8.461346e-01          N/A       210.08    400847.55
   66      25.7817      35.4062 3.476169e-03 3.461505e-03 8.461205e-01          N/A       210.08    400847.55
   67      26.0051      35.7178 3.427520e-03 3.413086e-03 8.461090e-01          N/A       210.08    400847.55
   68      26.2291      36.0310 3.379892e-03 3.365666e-03 8.460999e-01          N/A       210.08    400847.55
   69      26.4504      36.3364 3.333220e-03 3.319210e-03 8.460931e-01          N/A       210.08    400847.55
   70      26.6725      36.6438 3.287572e-03 3.273720e-03 8.460875e-01          N/A       210.08    400847.55
   71      26.8943      36.9517 3.242839e-03 3.229159e-03 8.460842e-01          N/A       210.08    400847.55
   72      27.1166      37.2597 3.199062e-03 3.185535e-03 8.460825e-01          N/A       210.08    400847.55
   73      27.3390      37.5694 3.156183e-03 3.142795e-03 8.460823e-01          N/A       210.08    400847.55
   74      27.5603      37.8763 3.114204e-03 3.100954e-03 8.460835e-01          N/A       210.08    400847.55
   75      27.7812      38.1821 3.073085e-03 3.059967e-03 8.460864e-01          N/A       210.08    400847.55
   76      28.0023      38.4897 3.032843e-03 3.019826e-03 8.460891e-01          N/A       210.08    400847.55
   77      28.2241      38.7987 2.993448e-03 2.980519e-03 8.460937e-01          N/A       210.08    400847.55
   78      28.4449      39.1054 2.954855e-03 2.942017e-03 8.460993e-01          N/A       210.08    400847.55
   79      28.6655      39.4116 2.917067e-03 2.904316e-03 8.461059e-01          N/A       210.08    400847.55
   80      28.8878      39.7240 2.880063e-03 2.867371e-03 8.461132e-01          N/A       210.08    400847.55
   81      29.1096      40.0343 2.843807e-03 2.831210e-03 8.461212e-01          N/A       210.08    400847.55
   82      29.3316      40.3447 2.808319e-03 2.795767e-03 8.461300e-01          N/A       210.08    400847.55
   83      29.5543      40.6540 2.773529e-03 2.761058e-03 8.461393e-01          N/A       210.08    400847.55
   84      29.7750      40.9587 2.739472e-03 2.727051e-03 8.461492e-01          N/A       210.08    400847.55
   85      29.9967      41.2681 2.706073e-03 2.693726e-03 8.461595e-01          N/A       210.08    400847.55
   86      30.2167      41.5729 2.673350e-03 2.661084e-03 8.461712e-01          N/A       210.08    400847.55
   87      30.4375      41.8785 2.641294e-03 2.629073e-03 8.461809e-01          N/A       210.08    400847.55
   88      30.6577      42.1854 2.609875e-03 2.597727e-03 8.461924e-01          N/A       210.08    400847.55
   89      30.8779      42.4932 2.579059e-03 2.566982e-03 8.462043e-01          N/A       210.08    400847.55
   90      31.0938      42.7859 2.548818e-03 2.536860e-03 8.462164e-01          N/A       210.08    400847.55
   91      31.3125      43.0898 2.519178e-03 2.507313e-03 8.462296e-01          N/A       210.08    400847.55
   92      31.5307      43.3924 2.490131e-03 2.478330e-03 8.462406e-01          N/A       210.08    400847.55
   93      31.7503      43.6971 2.461597e-03 2.449924e-03 8.462532e-01          N/A       210.08    400847.55
   94      31.9698      44.0029 2.433603e-03 2.422037e-03 8.462660e-01          N/A       210.08    400847.55
   95      32.1886      44.3067 2.406155e-03 2.394690e-03 8.462789e-01          N/A       210.08    400847.55
   96      32.4075      44.6109 2.379201e-03 2.367862e-03 8.462918e-01          N/A       210.08    400847.55
   97      32.6260      44.9162 2.352719e-03 2.341516e-03 8.463055e-01          N/A       210.08    400847.55
   98      32.8446      45.2205 2.327357e-03 2.317545e-03 8.463172e-01          N/A       210.08    400847.55
   99      33.0626      45.5246 2.305642e-03 2.295896e-03 8.463301e-01          N/A       210.08    400847.55
  100      33.2827      45.8338 2.284271e-03 2.274553e-03 8.463432e-01 3.971097e-01       210.09    400847.55
  101      33.4719      46.0967 2.262768e-03 2.253549e-03 8.463754e-01          N/A       210.09    400847.55
  102      33.6908      46.4031 2.242778e-03 2.232698e-03 8.463387e-01          N/A       210.09    400847.55
  103      33.8758      46.6587 2.221644e-03 2.212447e-03 8.463919e-01          N/A       210.09    400847.55
  104      34.0937      46.9610 2.202099e-03 2.192241e-03 8.463720e-01          N/A       210.09    400847.55
  105      34.2756      47.2141 2.181634e-03 2.172530e-03 8.464136e-01          N/A       210.09    400847.55
  106      34.4943      47.5172 2.162559e-03 2.152934e-03 8.464071e-01          N/A       210.09    400847.55
