# x_position, ghia_v, simulation_v, inf_norm
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.453299999999999925e-01
9.687999999999999945e-01 -5.906000000000000139e-02 0.000000000000000000e+00 2.453299999999999925e-01
9.608999999999999764e-01 -7.391000000000000347e-02 0.000000000000000000e+00 2.453299999999999925e-01
9.530999999999999472e-01 -8.863999999999999657e-02 0.000000000000000000e+00 2.453299999999999925e-01
9.453000000000000291e-01 -1.031299999999999994e-01 0.000000000000000000e+00 2.453299999999999925e-01
9.062999999999999945e-01 -1.691400000000000126e-01 0.000000000000000000e+00 2.453299999999999925e-01
8.594000000000000528e-01 -2.244500000000000106e-01 0.000000000000000000e+00 2.453299999999999925e-01
8.046999999999999709e-01 -2.453299999999999925e-01 0.000000000000000000e+00 2.453299999999999925e-01
5.000000000000000000e-01 5.453999999999999820e-02 0.000000000000000000e+00 2.453299999999999925e-01
2.343999999999999972e-01 1.752700000000000091e-01 0.000000000000000000e+00 2.453299999999999925e-01
2.265999999999999959e-01 1.750700000000000034e-01 0.000000000000000000e+00 2.453299999999999925e-01
1.562999999999999945e-01 1.607699999999999962e-01 0.000000000000000000e+00 2.453299999999999925e-01
9.379999999999999449e-02 1.231700000000000017e-01 0.000000000000000000e+00 2.453299999999999925e-01
7.810000000000000275e-02 1.088999999999999968e-01 0.000000000000000000e+00 2.453299999999999925e-01
7.030000000000000138e-02 1.009099999999999997e-01 0.000000000000000000e+00 2.453299999999999925e-01
6.250000000000000000e-02 9.232999999999999541e-02 0.000000000000000000e+00 2.453299999999999925e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.453299999999999925e-01
