Iteration,Wall_Time,CPU_Time,Total_Residual,Momentum_Residual,Pressure_Residual,Infinity_Norm_Error,RSS_MB,VMS_MB
1,0.603294849395752,0.821563,0.1942393995392076,0.17500000000000002,7.0817273370729295,,151.265625,400296.734375
2,0.8600447177886963,1.180082,0.12639259132513297,0.12522253750901552,1.656196488612851,,153.984375,400296.734375
3,1.1296000480651855,1.5529469999999999,0.08265725943607527,0.10364540824243616,0.8191583411750436,,154.46875,400296.734375
4,1.4098937511444092,1.939401,0.06046208276590698,0.0884638513075309,0.6446443555779098,,156.515625,400296.734375
5,1.688499927520752,2.321184,0.04724519207162947,0.07622803053126964,0.6181574292600338,,158.40625,400296.734375
6,1.9596917629241943,2.6972470000000004,0.03770833610568608,0.0659415953375106,0.6517216657151685,,160.546875,400296.734375
7,2.230442762374878,3.069808,0.031667205330132536,0.05724838446555386,0.6971063509314295,,160.671875,400296.734375
8,2.4843828678131104,3.4200890000000004,0.02872382398312176,0.04990199320068056,0.739763918102522,,160.671875,400296.734375
9,2.731543779373169,3.759364,0.026093316014812296,0.04369177476841679,0.7755015005079535,,161.421875,400296.734375
10,2.9764177799224854,4.097007,0.023752702881454146,0.038429978862589476,0.803338008361207,,161.421875,400296.734375
11,3.1735177040100098,4.367978,0.021678463497755873,0.03395383069558833,0.8236385758332929,,161.671875,400296.734375
12,3.355041742324829,4.617427,0.019910650131683305,0.030127581210240117,0.8360787580332492,,161.671875,400296.734375
13,3.5250067710876465,4.8519309999999995,0.018313713064449455,0.026838906734812706,0.8473245088307078,,161.671875,400296.734375
14,3.677943706512451,5.061389999999999,0.016925315380279582,0.023996258879482035,0.8552998493169675,,161.671875,400296.734375
15,3.811976909637451,5.246535,0.015681535441403216,0.021525877750800504,0.8582381120891576,,161.671875,400296.734375
16,3.9383318424224854,5.420863,0.014565018918630435,0.019368390550487835,0.861347638066178,,161.671875,400296.734375
17,4.046534776687622,5.568701,0.013586218733230238,0.017474645294750624,0.8635988527658682,,161.671875,400296.734375
18,4.182052850723267,5.757782,0.012724213211134261,0.0158068650469535,0.8608480825141243,,172.078125,400562.734375
19,4.229449987411499,5.823536,0.011954777100768477,0.014331124920110683,0.8764393656736544,,172.078125,400562.734375
20,4.357308864593506,6.000019,0.011702459484670386,0.013020980399024995,0.8462997261679384,,172.078125,400562.734375
21,4.477975845336914,6.164953,0.011087708532955876,0.011855326097739205,0.8592482941435335,,172.078125,400562.734375
22,4.524239778518677,6.229407999999999,0.010572153243924215,0.010813548068826118,0.8694739707219874,,172.078125,400562.734375
23,4.629832983016968,6.371442,0.010270540570103681,0.01011087696187582,0.8501912866062611,,172.078125,400562.734375
24,4.727842807769775,6.506453,0.009838830271345744,0.009738767694608519,0.8601248380798729,,172.078125,400562.734375
25,4.791451930999756,6.5885039999999995,0.00939157730785789,0.009370437322261227,0.8634680335821194,,172.828125,400562.734375
26,4.89008903503418,6.723275,0.00913745582262604,0.008988437609077415,0.8482539761604819,,172.953125,400562.734375
27,4.939269781112671,6.790849,0.008693255289675295,0.008679336115051284,0.8614305939797369,,172.953125,400562.734375
28,5.042107820510864,6.9322029999999994,0.008535676378354118,0.008337176247150913,0.8453160733582088,,173.078125,400562.734375
29,5.085456848144531,6.9929429999999995,0.008095337596959185,0.008080531955945047,0.8576472071694887,,173.078125,400562.734375
30,5.172092914581299,7.11264,0.007881963812149506,0.007778520460429594,0.851859871908168,,173.078125,400562.734375
31,5.2151198387146,7.173359,0.007521349177823655,0.007520972355906597,0.8554993828649806,,173.078125,400562.734375
32,5.319082021713257,7.316165,0.007426265857434389,0.007240647588702742,0.8452620201688852,,173.078125,400562.734375
33,5.363472938537598,7.3779259999999995,0.007043377929014549,0.0070403275355120365,0.8537306246604714,,173.078125,400562.734375
34,5.40887975692749,7.441266,0.006815957817520146,0.006793642530024013,0.8538147338660238,,173.078125,400562.734375
35,5.457628965377808,7.5088,0.006606665678430823,0.00656249724231861,0.8532420700976928,,173.078125,400562.734375
36,5.563463926315308,7.654844999999999,0.006511083266481976,0.006344653438629944,0.8412246362885512,,173.078125,400562.734375
37,5.608822822570801,7.717007,0.006219762275174234,0.006185727576055178,0.8514559899786818,,173.078125,400562.734375
38,5.654841899871826,7.780615999999999,0.006023168711452337,0.006028813185966375,0.8517795504834638,,173.078125,400562.734375
39,5.704617977142334,7.850817,0.005900363079522186,0.005879909288699164,0.8517723509658808,,173.078125,400562.734375
40,5.812274932861328,7.998501999999999,0.005933453253211873,0.005737742824473563,0.8448924210987201,,173.078125,400562.734375
41,5.858245849609375,8.062837,0.005647953986921278,0.00564804120031856,0.8491655068716142,,173.078125,400562.734375
42,5.90495491027832,8.127288,0.0055065159694329124,0.0055024469084456185,0.8493465572479906,,173.078125,400562.734375
43,5.953892707824707,8.194588000000001,0.005385625213321643,0.005372140327590147,0.8491813468619114,,173.078125,400562.734375
44,6.0071868896484375,8.270045000000001,0.005303258264304889,0.0052486918660075155,0.849122934796803,,173.078125,400562.734375
45,6.114037036895752,8.418461,0.0053129152522334855,0.005132953428316989,0.8403711721110199,,173.078125,400562.734375
46,6.159003973007202,8.481235,0.00507070030361062,0.005058989753896237,0.8475948529600004,,173.078125,400562.734375
47,6.206016778945923,8.548378000000001,0.004966199928728959,0.004943145856598885,0.8484696629377098,,173.078125,400562.734375
48,6.255447864532471,8.617919,0.004861688796657798,0.0048312643897879815,0.8486580341323915,,173.078125,400562.734375
49,6.31127405166626,8.697303,0.004763613331082883,0.004725968440321637,0.8486356191123647,,173.078125,400562.734375
