# x_position, ghia_v, simulation_v, abs_error
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.687999999999999945e-01 -2.138799999999999868e-01 -2.026844238939851661e-01 1.119557610601482067e-02
9.608999999999999764e-01 -2.766899999999999915e-01 -2.599638650984572030e-01 1.672613490154278848e-02
9.530999999999999472e-01 -3.371399999999999952e-01 -3.132459595279275533e-01 2.389404047207244197e-02
9.453000000000000291e-01 -3.918800000000000061e-01 -3.604848256988499311e-01 3.139517430115007501e-02
9.062999999999999945e-01 -5.154999999999999583e-01 -4.619333552928040487e-01 5.356664470719590954e-02
8.594000000000000528e-01 -4.266499999999999737e-01 -3.802682496948825985e-01 4.638175030511737518e-02
8.046999999999999709e-01 -3.196599999999999997e-01 -2.764950831045156487e-01 4.316491689548435096e-02
5.000000000000000000e-01 2.526000000000000120e-02 2.825113885016609927e-02 2.991138850166098068e-03
2.343999999999999972e-01 3.223500000000000254e-01 2.858280083871567179e-01 3.652199161284330753e-02
2.265999999999999959e-01 3.307499999999999885e-01 2.917662544953104620e-01 3.898374550468952648e-02
1.562999999999999945e-01 3.709500000000000020e-01 3.134752848685815052e-01 5.747471513141849675e-02
9.379999999999999449e-02 3.262700000000000045e-01 2.737506736487624326e-01 5.251932635123757187e-02
7.810000000000000275e-02 3.035300000000000220e-01 2.544629792504816135e-01 4.906702074951840853e-02
7.030000000000000138e-02 2.901199999999999890e-01 2.428899603129451856e-01 4.723003968705480338e-02
6.250000000000000000e-02 2.748499999999999832e-01 2.295524117954154120e-01 4.529758820458457125e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
