# x_position, ghia_v, simulation_v, abs_error
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.687999999999999945e-01 -1.214599999999999985e-01 -1.176195732364143653e-01 3.840426763585633174e-03
9.608999999999999764e-01 -1.566299999999999915e-01 -1.515336182109919272e-01 5.096381789008064267e-03
9.530999999999999472e-01 -1.925399999999999889e-01 -1.855153518641834420e-01 7.024648135816546901e-03
9.453000000000000291e-01 -2.284700000000000064e-01 -2.192979469321357233e-01 9.172053067864283094e-03
9.062999999999999945e-01 -2.382700000000000096e-01 -3.613342979092703522e-01 1.230642979092703426e-01
8.594000000000000528e-01 -4.499299999999999966e-01 -4.196555883019534305e-01 3.027441169804656607e-02
8.046999999999999709e-01 -3.859799999999999898e-01 -3.593525607235851793e-01 2.662743927641481045e-02
5.000000000000000000e-01 5.186000000000000332e-02 5.602489052598224467e-02 4.164890525982241354e-03
2.343999999999999972e-01 3.017400000000000082e-01 2.751087070517169164e-01 2.663129294828309179e-02
2.265999999999999959e-01 3.020300000000000207e-01 2.750291535789732289e-01 2.700084642102679178e-02
1.562999999999999945e-01 2.812399999999999900e-01 2.547531281968971606e-01 2.648687180310282940e-02
9.379999999999999449e-02 2.296499999999999930e-01 2.069524769651284457e-01 2.269752303487154732e-02
7.810000000000000275e-02 2.091999999999999971e-01 1.878361246253070216e-01 2.136387537469297548e-02
7.030000000000000138e-02 1.971299999999999997e-01 1.766785930867594556e-01 2.045140691324054405e-02
6.250000000000000000e-02 1.836000000000000132e-01 1.642248564823080847e-01 1.937514351769192844e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
