smoother,time_seconds,iterations,final_residual,max_divergence
Standard Gauss-Seidel,4.975924968719482,116,0.0009960715255473772,0.000182325439220081
Line Gauss-Seidel,275.9914698600769,149,0.0009969897492074875,7.926044319537628e-05
