X(mm),Y(mm)
46.437057,17.102139
46.31829,17.102139
46.199528,17.220903
45.84323,17.220903
45.72447,17.339668
45.6057,17.339668
45.48694,17.458433
45.130642,17.458433
45.01188,17.577198
44.893112,17.577198
44.77435,17.695963
44.418053,17.695963
44.29929,17.814728
44.06176,17.814728
43.942993,17.933493
43.705463,17.933493
43.5867,18.052258
43.34917,18.052258
43.230404,18.171022
42.992874,18.171022
42.87411,18.289787
42.39905,18.289787
42.28029,18.408552
42.04276,18.408552
41.923992,18.527317
41.448933,18.527317
41.33017,18.646082
41.09264,18.646082
40.973873,18.764847
40.38005,18.764847
40.261284,18.883612
40.023754,18.883612
39.90499,19.002377
39.311165,19.002377
39.1924,19.12114
38.836105,19.12114
38.717342,19.239904
38.004753,19.239904
37.885986,19.35867
37.410927,19.35867
37.292164,19.477434
36.460808,19.477434
36.342045,19.596199
35.74822,19.596199
35.629456,19.714964
34.798103,19.714964
34.679337,19.833729
33.610455,19.833729
33.491688,19.952494
32.660336,19.952494
32.54157,20.071259
31.235155,20.071259
31.116388,20.190023
30.047506,20.190023
29.92874,20.308788
27.909739,20.308788
27.790974,20.427553
26.603325,20.427553
26.48456,20.546318
23.634203,20.546318
23.51544,20.665083
21.021378,20.665083
20.902613,20.783848
17.458431,20.783848
