Iteration,Wall_Time,CPU_Time,Total_Residual,Momentum_Residual,Pressure_Residual,Infinity_Norm_Error,RSS_MB,VMS_MB
1,0.1853029727935791,0.18302300000000005,0.19423966447786628,0.17500000000000002,7.083752506247852,,185.078125,399958.90625
2,0.38099002838134766,0.378529,0.12639493237061267,0.12522499005807003,1.7076854112977804,,191.9375,399959.90625
3,0.5753350257873535,0.572948,0.08266019321285278,0.10364485787349642,0.8566018973184715,,199.625,399961.90625
4,0.7586450576782227,0.7552160000000001,0.06047379068319664,0.08846358607778548,0.6711631454493197,,203.03125,399961.90625
5,0.9527280330657959,0.9491830000000001,0.04724359549623164,0.07622802191313569,0.6360334104888938,,207.03125,399962.90625
6,1.155452013015747,1.149174,0.03770323245441981,0.06594111343572104,0.6628942884086584,,208.0625,399963.90625
7,1.3395068645477295,1.331966,0.03166178729474875,0.057247853211049804,0.703458415506212,,214.359375,399963.90625
8,1.535283088684082,1.527435,0.028728758281076433,0.04990157471093154,0.7432309252856744,,214.375,399963.90625
9,1.7309250831604004,1.7226530000000002,0.026085095564153227,0.04369152295802692,0.777115725157552,,213.515625,399963.90625
10,1.911417007446289,1.902994,0.02374554251396571,0.038429770949421294,0.8039439940078434,,214.453125,399963.90625
11,2.1058969497680664,2.097513,0.021689390407887532,0.03395400681929728,0.8241652409328175,,217.046875,399963.90625
12,2.2981739044189453,2.290078,0.01988468067959437,0.03012784632821619,0.8388078788160556,,216.125,399963.90625
13,2.4788098335266113,2.470773,0.018298253747884352,0.026839054724688782,0.8490080202333932,,217.046875,399963.90625
14,2.6754260063171387,2.666488,0.016899555230230956,0.02399637093831719,0.8558076129926242,,217.046875,399963.90625
15,2.8687381744384766,2.859309,0.015661758882710763,0.0215260027115603,0.8600825176343108,,216.125,399963.90625
16,3.054245948791504,3.043653,0.014561950148891889,0.019368316871539892,0.8625319643126197,,218.078125,400091.90625
17,3.2463371753692627,3.2357650000000002,0.013580766146107315,0.01747497804724113,0.8636948610280584,,218.078125,400091.90625
18,3.4393138885498047,3.42881,0.012701856809976597,0.01580659336390322,0.8639756236130509,,217.078125,400090.90625
19,3.6316890716552734,3.6211830000000003,0.01206050979491316,0.014330832835376395,0.8636711287968488,,217.15625,400091.90625
20,3.8103249073028564,3.7997449999999997,0.011557807806299086,0.013020956843655784,0.862995060641687,,218.078125,400091.90625
21,4.011114120483398,3.999042,0.011081274852312306,0.01185467442011956,0.8620983263094786,,218.078125,400091.90625
22,4.20467209815979,4.192407,0.010630517443935533,0.010813261563010934,0.8610854049256176,,217.15625,400091.90625
23,4.3863701820373535,4.37373,0.01020462776573372,0.010130159431374824,0.8600270278411912,,218.078125,400091.90625
24,4.582237005233765,4.5692450000000004,0.00980255151337911,0.009733799924366349,0.8589697799870599,,218.078125,400091.90625
25,4.77511191368103,4.76174,0.009423036694978348,0.009359196083199905,0.8579432314001387,,217.15625,400091.90625
26,4.954596996307373,4.941223,0.009064841707755067,0.009005305713542244,0.8569651489459353,,218.078125,400091.90625
27,5.1476240158081055,5.134092,0.008726661518532075,0.008670889557987671,0.8560452506924747,,218.703125,400091.90625
28,5.341481924057007,5.32806,0.008407281322836302,0.008354833191799638,0.8551878746759769,,217.78125,400091.90625
29,5.5211358070373535,5.507879,0.008105461479294807,0.008055985243744512,0.8543938516140912,,218.703125,400091.90625
30,5.714747905731201,5.701543,0.007820106293520979,0.0077732583102453345,0.8536618018503539,,218.703125,400091.90625
31,5.9064719676971436,5.89328,0.0075500841028113275,0.007505636439851859,0.8529890209953699,,217.78125,400091.90625
32,6.0853471755981445,6.072178,0.00729444024103254,0.007252114152039135,0.8523720751528643,,218.703125,400091.90625
33,6.279124975204468,6.2661,0.007052181350058251,0.007011816153814132,0.8518071934000275,,218.703125,400091.90625
34,6.472002029418945,6.459101,0.006822451554215514,0.006783840420970022,0.8512905203476038,,216.796875,400090.90625
35,6.652315855026245,6.639453,0.006604431841518377,0.006567438889949484,0.8508182733049168,,218.703125,400091.90625
36,6.84251594543457,6.829378,0.006397342866394151,0.006361818996082458,0.8503868352757493,,216.796875,400090.90625
37,7.036226034164429,7.023224,0.006200513888784176,0.006166339179701497,0.8499928054632093,,216.796875,400090.90625
38,7.216856002807617,7.203887,0.006054111121942818,0.006022534219371545,0.8496330221760076,,218.703125,400091.90625
39,7.413061857223511,7.400178,0.005915545775982772,0.005885129540950357,0.8493045682566915,,217.8125,400091.90625
40,7.605998992919922,7.593081000000001,0.005781267330069395,0.005751993324470295,0.8490047658291431,,218.703125,400091.90625
41,7.785027027130127,7.7722050000000005,0.005651235062196641,0.005622971774681046,0.848731164867651,,218.703125,400091.90625
42,7.9780919551849365,7.965483,0.005525307656292916,0.0054980152948799765,0.8484815285213259,,217.703125,400090.90625
43,8.16984510421753,8.157257999999999,0.00540339159445824,0.005376993186668677,0.8482538170679135,,217.796875,400091.90625
44,8.350950002670288,8.338019,0.005285361269472599,0.005259784808376411,0.8480461716603429,,218.703125,400091.90625
45,8.543601989746094,8.530816000000002,0.005171094890101369,0.005146311125371228,0.8478568985588311,,218.703125,400091.90625
46,8.734070062637329,8.721405,0.005060476814089165,0.005036399809487613,0.8476844542361519,,217.796875,400091.90625
47,8.91217303276062,8.899654000000002,0.004953376664221021,0.004929996182780061,0.847527431547519,,218.703125,400091.90625
48,9.10339903831482,9.091035999999999,0.004849680946207802,0.004826924663553167,0.847384547033478,,217.796875,400091.90625
49,9.296894073486328,9.284604999999999,0.004749267087181042,0.004727109435064325,0.847254629350715,,218.703125,400091.90625
50,9.476305961608887,9.464003000000002,0.004652014682881345,0.0046304112767437955,0.8471366087818879,,218.703125,400091.90625
51,9.66936993598938,9.657021,0.004557823090715063,0.004536732683304068,0.8470295077538452,,217.796875,400091.90625
52,9.860323190689087,9.847999999999999,0.004466555221946333,0.0044459593476599,0.8469324322831397,,218.703125,400091.90625
53,10.054401159286499,10.042141999999998,0.004378144920187121,0.004357986403663694,0.8468445642659148,,221.296875,400091.90625
54,10.233041048049927,10.221032000000001,0.004292446353177937,0.004272712964612846,0.8467651545307646,,221.296875,400091.90625
55,10.426943063735962,10.414963,0.004209385012377609,0.004190039659994482,0.8466935165789451,,221.296875,400091.90625
56,10.622171878814697,10.610211,0.004128859976857413,0.004109867632951847,0.8466290209410801,,221.296875,400091.90625
57,10.800758123397827,10.788734999999999,0.0040507637219671655,0.004032114789579377,0.8465710900865275,,221.296875,400091.90625
58,10.995114088058472,10.983198999999999,0.003975028410965031,0.003956673102143149,0.8465191938276178,,221.296875,400091.90625
59,11.188762903213501,11.176779,0.0039015609854120004,0.0038834887265749574,0.8464728451672414,,221.296875,400091.90625
60,11.3696608543396,11.357652000000002,0.003830270002147751,0.0038124432921752827,0.8464315965431624,,221.296875,400091.90625
61,11.563331127166748,11.551043,0.003761078705687093,0.0037434922018159678,0.8463950364281274,,221.296875,400091.90625
62,11.755789995193481,11.743476999999999,0.00369392932456003,0.0036765395232320475,0.8463627862488536,,221.296875,400091.90625
63,11.93351697921753,11.921333,0.003628735308762454,0.0036129626486667565,0.8463344975913074,,221.296875,400091.90625
64,12.1232750415802,12.110805,0.0035765793028123827,0.0035614432925802075,0.8463098496632568,,221.296875,400091.90625
65,12.311915159225464,12.299230000000001,0.003525856046245085,0.0035109811585686546,0.846288546988113,,221.296875,400091.90625
66,12.484782218933105,12.47183,0.0034761921348777924,0.0034615454912692856,0.846270317307031,,221.296875,400091.90625
67,12.669506072998047,12.656672,0.0034275400544871715,0.003413117665240939,0.8462549096687226,,221.296875,400091.90625
68,12.855703115463257,12.843065,0.0033799127895766945,0.0033656945688874673,0.8462420926886338,,221.296875,400091.90625
69,13.027435064315796,13.014965,0.003333256077411473,0.0033192335973949993,0.8462316529611016,,221.296875,400091.90625
70,13.211502075195312,13.199242000000002,0.0032875933511155864,0.003273748058170184,0.8462233936099182,,221.296875,400091.90625
71,13.396563053131104,13.384284000000001,0.0032428588409359194,0.0032291832934684683,0.8462171329639716,,221.296875,400091.90625
72,13.568372964859009,13.556000000000001,0.003199081286269778,0.0031855583790670883,0.8462127033464384,,221.296875,400091.90625
73,13.75348687171936,13.741340999999998,0.003156201643397749,0.003142817651850094,0.8462099499668625,,221.296875,400091.90625
74,13.939334869384766,13.927477,0.003114222383678089,0.0031009759781590596,0.8462087299066354,,221.296875,400091.90625
75,14.111555814743042,14.099879000000001,0.0030731221109852047,0.0030599867887222687,0.8462089111894073,,221.296875,400091.90625
76,14.297985076904297,14.286558,0.0030328628056583984,0.003019851595011336,0.8462103719286063,,221.296875,400091.90625
77,14.485327959060669,14.474045,0.002993466574930881,0.002980541916897894,0.8462129995452727,,221.296875,400091.90625
78,14.657685995101929,14.64651,0.0029548718364447724,0.002942037840334477,0.8462166900500137,,221.296875,400091.90625
79,14.844271898269653,14.833253,0.0029170832970479843,0.002904336601385782,0.846221347383306,,221.296875,400091.90625
80,15.033032894134521,15.019836000000002,0.002880079590426743,0.0028673902199792822,0.8462268828091055,,221.296875,400091.90625
81,15.205392837524414,15.192542,0.002843822831901821,0.002831227500738942,0.8462332143571274,,221.296875,400091.90625
82,15.39408802986145,15.381467,0.002808334021771719,0.0027957843999418253,0.8462402663096071,,221.296875,400091.90625
83,15.579929828643799,15.567573,0.0027735435582332824,0.00276107466337977,0.8462479687288038,,221.296875,400091.90625
84,15.766633987426758,15.754594,0.00273948653623729,0.0027270664869887273,0.846256257021679,,221.296875,400091.90625
85,15.94117784500122,15.928235,0.0027060873023313503,0.0026937414112920277,0.8462650715388378,,221.296875,400091.90625
86,16.13309121131897,16.120421,0.002673388381890074,0.0026610988898003174,0.8462743572045497,,221.296875,400091.90625
87,16.324045181274414,16.311700000000002,0.002641309800053171,0.00262909380578924,0.8462840631755739,,221.296875,400091.90625
88,16.505619049072266,16.490618,0.0026098884376112297,0.0025977467930834997,0.8462941425262756,,221.296875,400091.90625
89,16.95537495613098,16.764674,0.0025790718521589984,0.002566999647023338,0.8463045519579993,,225.734375,400637.90625
90,17.166208028793335,16.965246,0.0025488308156996764,0.0025368756532093695,0.8463152515304273,,227.609375,400637.90625
91,17.34493899345398,17.144065,0.0025192137443181273,0.002507326905029972,0.8463262044135575,,230.203125,400637.90625
92,17.53139305114746,17.330766,0.0024901442823158093,0.0024783489620079924,0.8463373766584255,,230.203125,400637.90625
93,17.719089031219482,17.518671,0.0024616086851972363,0.002449941409359113,0.8463487369850213,,230.203125,400637.90625
94,17.892994165420532,17.692825000000003,0.002433613693864023,0.0024220524565230495,0.8463602565861947,,230.21875,400637.90625
95,18.08346700668335,17.878982,0.002406164437214864,0.002394703531700959,0.8463719089461677,,230.21875,400637.90625
96,18.270939826965332,18.066295,0.0023792103425129274,0.0023678747746942452,0.8463836696725906,,211.484375,400637.90625
97,18.443423986434937,18.238947,0.002352739878733523,0.00234152731478543,0.8463955163410617,,214.921875,400637.90625
98,18.630521059036255,18.425845000000002,0.0023273668320979157,0.0023175605735529237,0.8464074283510712,,221.03125,400637.90625
99,18.8284969329834,18.61314,0.0023056484001578725,0.002295909554966058,0.8464193867926326,,221.03125,400637.90625
100,19.002725839614868,18.786161,0.002284276303003263,0.0022745652398655503,0.84643137432262,0.3971090680038906,223.15625,400637.90625
101,19.193203926086426,18.973033,0.0022631937824238446,0.0022535586833832555,0.846443375050228,,223.15625,400637.90625
102,19.380604028701782,19.160878,0.0022424207475427727,0.00223283626345247,0.8464553744307182,,223.453125,400637.90625
103,19.55816102027893,19.335006,0.00222196699209265,0.0022124378694703684,0.8464673591669793,,223.453125,400637.90625
104,19.74420690536499,19.521378000000002,0.0022017897269132614,0.0021923328464558967,0.8464793171180673,,198.90625,400637.90625
105,19.933972120285034,19.70848,0.0021818876713839974,0.0021724991113523107,0.8464912372145932,,194.34375,400637.90625
106,20.11009407043457,19.882714,0.0021623101929078292,0.002152986315683031,0.846503109379924,,199.703125,400637.90625
107,20.299061059951782,20.068609000000002,0.0021429960480860155,0.0021337423278375567,0.8465149244573666,,202.328125,400637.90625
108,20.493624210357666,20.256252,0.002123941458073597,0.002114756758861025,0.846526674142325,,207.28125,400637.90625
109,20.666595935821533,20.429466,0.0021051426490217573,0.002096058295489256,0.8465383509194595,,208.34375,400637.90625
110,20.851850032806396,20.614919,0.0020866358648171657,0.0020776344272871172,0.8465499480042809,,210.0,400637.90625
111,21.035440921783447,20.79861,0.002068388591013992,0.002059456240625507,0.8465614592889921,,210.3125,400637.90625
112,21.206435203552246,20.969731,0.002050384195330046,0.002041520091166621,0.8465728792920402,,211.53125,400637.90625
113,21.392225980758667,21.155663,0.0020326190119006604,0.00202384083340737,0.8465842031114477,,211.53125,400637.90625
