================================================================================
NAVIFLOW PROFILING REPORT
================================================================================

Algorithm: SimpleSolver
Timestamp: 2025-03-17 14:31:26
Mesh Size: 127x127
Reynolds Number: 100

ALGORITHM AND SOLVER PARAMETERS
--------------------------------------------------------------------------------
Pressure Relaxation Factor (alpha_p): 0.100
Velocity Relaxation Factor (alpha_u): 0.700
Pressure Solver: MultiGridSolver
Pressure Solver Tolerance: 1.000000e-03
Pressure Solver Max Iterations: 100
Smoother Type: <naviflow_oo.solver.pressure_solver.jacobi.JacobiSolver object at 0x1455d59d0>
Multigrid Cycle Type: f
Momentum Solver: StandardMomentumSolver

SYSTEM INFORMATION
--------------------------------------------------------------------------------
Platform: macOS-14.1-arm64-arm-64bit
Processor: Apple M3 Pro
Python Version: 3.11.11
CONVERGENCE INFORMATION
--------------------------------------------------------------------------------
Convergence Tolerance: 1.000000e-03
Final Residual: 2.309846e-03
Status: Did not converge (reached maximum iterations)

PERFORMANCE SUMMARY
--------------------------------------------------------------------------------
Total Wall Time: 48.1573 seconds
Total CPU Time: 49.9830 seconds
Total Iterations: 100
Average Wall Time per Iteration: 0.4816 seconds
PRESSURE SOLVER INFORMATION
--------------------------------------------------------------------------------
Solver: MultiGridSolver

Solver-Specific Information:
  cycle_type: f
  pre_smoothing: 5
  post_smoothing: 5
  smoother_iterations: 5
  smoother_omega: 0.800000
  smoother_type: JacobiSolver
  tolerance: 0.001000
  max_iterations: 100

DETAILED RESIDUAL HISTORY
--------------------------------------------------------------------------------
 Iter    Wall Time     CPU Time    Total Res Momentum Res Pressure Res Inf Norm Err
   57      27.4672      28.6068 4.099984e-03 1.879505e-02 2.939606e-01          N/A 
   58      27.9399      29.0989 4.021524e-03 1.820016e-02 2.935906e-01          N/A 
   59      28.4097      29.5864 3.945709e-03 1.762844e-02 2.932286e-01          N/A 
   60      28.8875      30.0838 3.872260e-03 1.707879e-02 2.928752e-01 5.057535e-01 
   61      29.3608      30.5752 3.801148e-03 1.655019e-02 2.925310e-01          N/A 
   62      29.8372      31.0711 3.732289e-03 1.604167e-02 2.921963e-01          N/A 
   63      30.3110      31.5630 3.676413e-03 1.555229e-02 2.918713e-01          N/A 
   64      30.7897      32.0606 3.623036e-03 1.508120e-02 2.915563e-01          N/A 
   65      31.2645      32.5538 3.570854e-03 1.462756e-02 2.912513e-01          N/A 
   66      31.7382      33.0469 3.519803e-03 1.419060e-02 2.909564e-01          N/A 
   67      32.2118      33.5381 3.469854e-03 1.376956e-02 2.906715e-01          N/A 
   68      32.6882      34.0333 3.421065e-03 1.336375e-02 2.903964e-01          N/A 
   69      33.1629      34.5260 3.373361e-03 1.297250e-02 2.901311e-01          N/A 
   70      33.6394      35.0227 3.326663e-03 1.259518e-02 2.898753e-01 4.713786e-01 
   71      34.1221      35.5313 3.280944e-03 1.223118e-02 2.896288e-01          N/A 
   72      34.6462      36.0547 3.236286e-03 1.193159e-02 2.893913e-01          N/A 
   73      35.1472      36.5605 3.192576e-03 1.171573e-02 2.891625e-01          N/A 
   74      35.6364      37.0682 3.149761e-03 1.150268e-02 2.889423e-01          N/A 
   75      36.1454      37.5764 3.107855e-03 1.129249e-02 2.887301e-01          N/A 
   76      36.6515      38.0830 3.066895e-03 1.108522e-02 2.885259e-01          N/A 
   77      37.1384      38.5899 3.026757e-03 1.088093e-02 2.883291e-01          N/A 
   78      37.6262      39.0964 2.987419e-03 1.067963e-02 2.881395e-01          N/A 
   79      38.1349      39.6044 2.948996e-03 1.048136e-02 2.879568e-01          N/A 
   80      38.6408      40.1089 2.911332e-03 1.028614e-02 2.877808e-01 4.411197e-01 
   81      39.1382      40.6149 2.874405e-03 1.009399e-02 2.876110e-01          N/A 
   82      39.6162      41.1118 2.838315e-03 9.904895e-03 2.874472e-01          N/A 
   83      40.0881      41.6022 2.802945e-03 9.718875e-03 2.872891e-01          N/A 
   84      40.5610      42.0937 2.768255e-03 9.535921e-03 2.871365e-01          N/A 
   85      41.0327      42.5838 2.734315e-03 9.356026e-03 2.869891e-01          N/A 
   86      41.5093      43.0791 2.701077e-03 9.179177e-03 2.868467e-01          N/A 
   87      41.9828      43.5714 2.668467e-03 9.005359e-03 2.867090e-01          N/A 
   88      42.4524      44.0590 2.636469e-03 8.834554e-03 2.865759e-01          N/A 
   89      42.9259      44.5507 2.605196e-03 8.666738e-03 2.864471e-01          N/A 
   90      43.3995      45.0425 2.574520e-03 8.501888e-03 2.863224e-01 4.143242e-01 
   91      43.8762      45.5376 2.544411e-03 8.339977e-03 2.862016e-01          N/A 
   92      44.3509      46.0308 2.514856e-03 8.180975e-03 2.860846e-01          N/A 
   93      44.8302      46.5286 2.485840e-03 8.024853e-03 2.859713e-01          N/A 
   94      45.3081      47.0235 2.457449e-03 7.871577e-03 2.858614e-01          N/A 
   95      45.7832      47.5173 2.429607e-03 7.721114e-03 2.857549e-01          N/A 
   96      46.2587      48.0104 2.402265e-03 7.573429e-03 2.856516e-01          N/A 
   97      46.7324      48.5032 2.376549e-03 7.428485e-03 2.855513e-01          N/A 
   98      47.2085      48.9978 2.353940e-03 7.286246e-03 2.854540e-01          N/A 
   99      47.6828      49.4910 2.331743e-03 7.146673e-03 2.853596e-01          N/A 
  100      48.1573      49.9830 2.309846e-03 7.009730e-03 2.852680e-01 3.904529e-01 

